Neighbourhood,Region,,,,,,,,,,,,,,,
AEROPORTO,South-East,,,,,,,,,,,,,,,
ANDORINHAS,South-East,,,,,,,,,,,,,,,
ANT√îNIO HON√ìRIO,South-East,,,,,,,,,,,,,,,
ARIOVALDO FAVALESSA,South-East,,,,,,,,,,,,,,,
BARRO VERMELHO,South-East,,,,,,,,,,,,,,,
BELA VISTA,South-East,,,,,,,model,accuracy(WB),sensitivity(WB),specificity(WB),accuracy(B),sensitivity(B),specificity(B),,
BENTO FERREIRA,South-East,,,,,,,Decision Tree,79.60%,0.037,0.988,58.90%,0.795,0.536,,
BOA VISTA,North,,,,,,,Logistic Regression,69.70%,0.288,0.801,56.10%,0.737,0.524,,
BONFIM,North,,,,,,,ANN(MLP),79.80%,0.003,1,55.50%,86.20%,47.80%,,
CARATO√çRA,South-East,,,,,,,Bayesian Belief,79.80%,1,0,58.50%,0.814,0.525,,
CENTRO,South-East,,,,,,,,,,,,,,,
COMDUSA,South-East,,,,,,,,,,,,,,,
CONQUISTA,North-East,,,,,,,,,,,,,,,
CONSOLA√á√ÉO,South-East,,,,,,,,,,,,,,,
CRUZAMENTO,South-East,,,,,,,,,,,0.478,,,,
DA PENHA,South,,,,,,,,,,,,,,,
DE LOURDES,South-East,,,,,,,,,,,,,,,
DO CABRAL,South-East,,,,,,,,,,,,,,,
DO MOSCOSO,South-East,,,,,,,Model ,Sensitivity,Specificity,Decision Tree,58.90%,,,,
DO QUADRO,South-East,,,,,,,Decision Tree,0.037,0.988,Logistic Regression,56.10%,,,,
ENSEADA DO SU√Å,Central-West,,,,,,,Logistic Regression,0.288,0.801,ANN(MLP),55.50%,,,,
ESTRELINHA,South-East,,,,,,,ANN,0.003,1,Bayesian Belief,58.50%,,,,
FONTE GRANDE,South-East,,,,,,,Bayesian Belief,1,0,,,,,,
FORTE S√ÉO JO√ÉO,South-East,,,,,,,Model(with-balancing),Sensitivity,Specificity,,,,,,
FRADINHOS,South-East,,,,,,,Decision Tree,0.795,0.536,,,,,,
GOIABEIRAS,South-East,,,,,,,Logistic Regression,0.737,0.524,,,,,,
GRANDE VIT√ìRIA,North-East,,,,,,,ANN,0.862,0.478,,,,,,
GURIGICA,South-East,,,,,,,Bayesian Belief,0.814,0.525,,,,,,
HORTO,South-East,,,,,,,,,,,,,,,
ILHA DAS CAIEIRAS,South-East,,,,,,,,,,,,,,,
ILHA DE SANTA MARIA,South-East,,,,,,,,,,,,,,,
ILHA DO BOI,South-East,,,,,,,,,,,,,,,
ILHA DO FRADE,North-East,,,,,,,,,,,,,,,
ILHA DO PR√çNCIPE,North-East,,,,,,,,,,,,,,,
ILHAS OCE√ÇNICAS DE TRINDADE,South-East,,,,,,,,,,,,,,,
INHANGUET√Å,South-East,,,,,,,,,,,,,,,
ITARAR√â,South-East,,,,,,,,,,,,,,,
JABOUR,South-East,,,,,,,,,,,,,,,
JARDIM CAMBURI,South-East,,,,,,,,,,,,,,,
JARDIM DA PENHA,South-East,,,,,,,Model,Accuracy,Sensitivity,Specificity,Accuracy,Sensitivity,Specificity,,
JESUS DE NAZARETH,South-East,,,,,,,,(Without Balancing),,,(With Balancing),,,,
JOANA D¬¥ARC,North,,,,,,,Decision Tree,79.60%,0.037,0.988,58.90%,0.795,0.536,,
JUCUTUQUARA,South-East,,,,,,,Logistic † Regression,63.50%,0.428,0.688,54.60%,0.721,0.502,,
M√ÅRIO CYPRESTE,South-East,,,,,,,ANN,79.80%,0.002,1,55.80%,0.861,0.481,,
MARIA ORTIZ,South-East,,,,,,,Bayesian Belief,57.60%,1,0,57.60%,0.828,0.512,,
MARU√çPE,South-East,,,,,,,,,,,,,,,
MATA DA PRAIA,South-East,,,,,,,,,,,,,,,
MONTE BELO,South-East,,,,,,,Decision Tree,79.60%,,,,,,,
MORADA DE CAMBURI,South-East,,,,,,,Logistic Regression,63.50%,,,,,,,
NAZARETH,North,,,,,,,ANN,79.80%,Model ,Sensitivity,Specificity,,,,
NOVA PALESTINA,South-East,,,,,,,Bayesian Belief,57.60%,Decision Tree,0.037,0.988,,,,
PARQUE INDUSTRIAL,South-East,,,,,,,,,Logistic Regression,0.428,0.688,,,,
PARQUE MOSCOSO,South-East,,,,,,,,,ANN,0.002,1,,,,
PIEDADE,South-East,,,,,,,Decision Tree,58.90%,Bayesian Belief,1,0,,,,
PONTAL DE CAMBURI,South-East,,,,,,,Logistic Regression,54.60%,Model(with-balancing),Sensitivity,Specificity,,,,
PRAIA DO CANTO,South-East,,,,,,,ANN,55.80%,Decision Tree,0.795,0.536,,,,
PRAIA DO SU√Å,South-East,,,,,,,Bayesian Belief,57.60%,Logistic Regression,0.721,0.502,,,,
REDEN√á√ÉO,South-East,,,,,,,,,ANN,0.861,0.481,,,,
REP√öBLICA,South-East,,,,,,,,,Bayesian Belief,0.828,0.512,,,,
RESIST√äNCIA,South-East,,,,,,,,,,,,,,,
ROM√ÉO,South-East,,,,,,,,,,,,,,,
S√ÉO BENEDITO,North-East,,,,,,,,,,,,,,,
S√ÉO CRIST√ìV√ÉO,South-East,,,,,,,,,,,,,,,
S√ÉO JOS√â,South-East,,,,,,,,,,,,,,,
S√ÉO PEDRO,South-East,,,,,,,,,,Row ID,Variable Importance,,,,
SANTA CEC√çLIA,North-East,,,,,,,,,,Gender,0.282,,,class,count
SANTA CLARA,South,,,,,,,,,,Scholarship,0.713,,True Positive,True No-Show,157
SANTA HELENA,North-East,,,,,,,,,,Hipertension,0.917,,False Positive,False No-Show,112
SANTA L√öCIA,South,,,,,,,,,,Diabetes,0.564,,True Negative,True Show,88096
SANTA LU√çZA,South-East,,,,,,,,,,Alcholism,0.341,,False Negative,False Show,22157
SANTA MARTHA,South-East,,,,,,,,,,Handcap,1.386,,,,
SANTA TEREZA,South-East,,,,,,,,,,SMS_received,1.209,,,,
SANTO ANDR√â,South-East,,,,,,,,,,wait_time,2.479,,,,
SANTO ANT√îNIO,North-East,,,,,,,,,,Age_grp,1.679,,,,
SANTOS DUMONT,South-East,,,,,,,,,,Region,0.808,,,,
SANTOS REIS,South-East,,,,,,,,,,Weekday (to number),0.617,,,,
SEGURAN√áA DO LAR,South-East,,,,,,,,,,,,,,,
SOLON BORGES,South-East,,,,,,,,,,,,,,,
TABUAZEIRO,South-East,,,,,,,,,,,,,,,
UNIVERSIT√ÅRIO,North,,,,,,,,,,,,,,,
VILA RUBIM,South-East,,,,,,,,,,,,,,,
